Source,Target,weight
790,1274,2020
790,219,2019
791,455,2020
792,562,2020
795,798,2022
797,242,2023
797,682,2021
797,1540,2018
798,1817,2022
798,36,2022
798,585,2021
800,1977,2021
800,182,2021
1977,182,2021
803,1371,2023
803,1508,2023
803,868,2020
461,868,2020
803,31,2019
803,2,2019
805,80,2022
805,261,2021
805,241,2020
241,483,2020
241,128,2020
809,889,2023
821,19,2020
823,140,2018
823,87,2018
824,905,2023
824,624,2023
624,905,2023
825,1860,2022
827,87,2021
369,87,2018
829,1535,2022
829,18,2021
832,994,2019
834,280,2023
834,1237,2021
836,863,2021
836,1656,2021
836,775,2020
838,1392,2018
840,1204,2020
841,1905,2022
844,889,2023
844,45,2022
844,992,2021
844,809,2019
845,8,2023
848,396,2018
850,1538,2021
851,563,2021
854,395,2021
855,157,2021
855,411,2018
856,306,2023
856,157,2021
861,42,2019
862,959,2021
863,35,2023
866,897,2018
867,923,2023
868,1508,2019
873,45,2019
875,1173,2023
876,920,2023
876,1094,2019
876,1475,2019
884,444,2022
886,25,2022
886,973,2020
128,973,2020
886,261,2020
886,176,2019
888,1683,2023
889,1996,2020
891,539,2023
891,316,2023
539,316,2023
891,1023,2018
460,1023,2018
892,1560,2020
892,122,2020
893,1110,2022
893,1206,2023
1110,1206,2023
894,563,2018
897,439,2022
897,1074,2020
899,1278,2023
899,962,2023
899,71,2022
900,1765,2023
900,675,2022
900,211,2022
900,1603,2019
901,1052,2020
903,810,2019
904,1262,2023
904,120,2022
908,19,2023
908,999,2023
913,1902,2023
914,147,2022
914,30,2019
918,1277,2023
918,1018,2019
921,1311,2022
921,1204,2019
924,262,2023
925,1190,2021
926,1231,2023
926,1522,2022
927,1160,2022
927,525,2019
1160,525,2019
929,1756,2023
935,1900,2022
936,1946,2021
942,1837,2022
945,4,2023
945,716,2021
946,973,2022
946,25,2022
949,539,2023
949,1008,2020
950,276,2018
955,1685,2018
957,30,2021
959,1055,2022
959,1204,2020
961,54,2023
961,1203,2023
961,645,2022
961,1497,2022
961,563,2022
961,229,2021
963,1611,2019
967,11,2021
967,1980,2020
1,1980,2020
967,91,2019
971,862,2020
972,1761,2023
973,58,2022
973,132,2019
976,1591,2021
979,1431,2020
981,257,2018
983,1749,2019
989,1293,2023
989,644,2020
989,2,2018
991,1191,2021
995,1557,2023
995,1954,2021
998,1493,2018
1001,627,2019
1005,1247,2023
1007,1563,2023
